date,revenue,cost_of_goods_sold,gross_profit,research_and_development_expenses,sganda_expenses,other_operating_income_or_expenses,operating_expenses,operating_income,total_non-operating_income_to_expense,pre-tax_income,income_taxes,income_after_taxes,other_income,income_from_continuous_operations,income_from_discontinued_operations,net_income,ebitda,ebit,basic_shares_outstanding,shares_outstanding,basic_eps,eps_-_earnings_per_share
2005-09-30,13931.0,9889.0,4042.0,535.0,1864.0,0.0,12288.0,1643.0,165.0,1808.0,480.0,1328.0,0.0,1328.0,0.0,1328.0,1822.0,1643.0,22636.0,23993.0,0.06,0.06
2006-09-30,19315.0,13717.0,5598.0,712.0,2433.0,0.0,16862.0,2453.0,365.0,2818.0,829.0,1989.0,0.0,1989.0,0.0,1989.0,2678.0,2453.0,23634.0,24571.0,0.08,0.08
2007-09-30,24578.0,16426.0,8152.0,782.0,2963.0,0.0,20171.0,4407.0,599.0,5006.0,1511.0,3495.0,0.0,3495.0,0.0,3495.0,4734.0,4407.0,24209.0,24900.0,0.14,0.14
2008-09-30,37491.0,24294.0,13197.0,1109.0,3761.0,0.0,29164.0,8327.0,620.0,8947.0,2828.0,6119.0,0.0,6119.0,0.0,6119.0,8823.0,8327.0,24685.0,25260.0,0.25,0.24
2009-09-30,42905.0,25683.0,17222.0,1333.0,4149.0,0.0,31165.0,11740.0,326.0,12066.0,3831.0,8235.0,0.0,8235.0,0.0,8235.0,12474.0,11740.0,25004.0,25396.0,0.33,0.32
2010-09-30,65225.0,39541.0,25684.0,1782.0,5517.0,0.0,46840.0,18385.0,155.0,18540.0,4527.0,14013.0,0.0,14013.0,0.0,14013.0,19412.0,18385.0,25465.0,25892.0,0.55,0.54
2011-09-30,108249.0,64431.0,43818.0,2429.0,7599.0,0.0,74459.0,33790.0,415.0,34205.0,8283.0,25922.0,0.0,25922.0,0.0,25922.0,35604.0,33790.0,25879.0,26226.0,1.0,0.99
2012-09-30,156508.0,87846.0,68662.0,3381.0,10040.0,0.0,101267.0,55241.0,522.0,55763.0,14030.0,41733.0,0.0,41733.0,0.0,41733.0,58518.0,55241.0,26175.0,26470.0,1.59,1.58
2013-09-30,170910.0,106606.0,64304.0,4475.0,10830.0,0.0,121911.0,48999.0,1156.0,50155.0,13118.0,37037.0,0.0,37037.0,0.0,37037.0,55756.0,48999.0,25909.0,26087.0,1.43,1.42
2014-09-30,182795.0,112258.0,70537.0,6041.0,11993.0,0.0,130292.0,52503.0,980.0,53483.0,13973.0,39510.0,0.0,39510.0,0.0,39510.0,60449.0,52503.0,24342.0,24491.0,1.62,1.61
2015-09-30,233715.0,140089.0,93626.0,8067.0,14329.0,0.0,162485.0,71230.0,1285.0,72515.0,19121.0,53394.0,0.0,53394.0,0.0,53394.0,82487.0,71230.0,23014.0,23172.0,2.32,2.31
2016-09-30,215639.0,131376.0,84263.0,10045.0,14194.0,0.0,155615.0,60024.0,1348.0,61372.0,15685.0,45687.0,0.0,45687.0,0.0,45687.0,70529.0,60024.0,21883.0,22001.0,2.09,2.08
2017-09-30,229234.0,141048.0,88186.0,11581.0,15261.0,0.0,167890.0,61344.0,2745.0,64089.0,15738.0,48351.0,0.0,48351.0,0.0,48351.0,71501.0,61344.0,20869.0,21007.0,2.32,2.3
2018-09-30,265595.0,163756.0,101839.0,14236.0,16705.0,0.0,194697.0,70898.0,2005.0,72903.0,13372.0,59531.0,0.0,59531.0,0.0,59531.0,81801.0,70898.0,19822.0,20000.0,3.0,2.98
2019-09-30,260174.0,161782.0,98392.0,16217.0,18245.0,0.0,196244.0,63930.0,1807.0,65737.0,10481.0,55256.0,0.0,55256.0,0.0,55256.0,76477.0,63930.0,18471.0,18596.0,2.99,2.97
2020-09-30,274515.0,169559.0,104956.0,18752.0,19916.0,0.0,208227.0,66288.0,803.0,67091.0,9680.0,57411.0,0.0,57411.0,0.0,57411.0,77344.0,66288.0,17352.0,17528.0,3.31,3.28
