date,revenue,cost_of_goods_sold,gross_profit,research_and_development_expenses,sganda_expenses,other_operating_income_or_expenses,operating_expenses,operating_income,total_non-operating_income_to_expense,pre-tax_income,income_taxes,income_after_taxes,other_income,income_from_continuous_operations,income_from_discontinued_operations,net_income,ebitda,ebit,basic_shares_outstanding,shares_outstanding,basic_eps,eps_-_earnings_per_share
2005-12-31,0.545,0.0,0.545,57.778,15.805,0.0,73.583,-73.038,1.427,-71.611,0.0,-71.611,0.0,-71.611,0.0,-71.611,-70.37,-73.038,0.0,0.0,-26123.63,-26123.63
2006-12-31,3.888,0.0,3.888,89.37,30.632,-24.46,144.462,-140.574,7.797,-132.777,0.0,-132.777,0.0,-132.777,0.0,-130.553,-137.392,-140.574,0.0,0.0,-38354.91,-38354.91
2007-12-31,46.861,0.0,46.861,42.654,20.762,0.0,65.752,-18.891,6.59,-12.301,0.0,-12.301,0.0,-12.301,0.0,-12.301,-16.548,-18.891,0.0,0.0,-3480.63,-3480.63
2008-12-31,0.0,0.0,0.0,11.026,8.467,0.0,19.493,-19.493,0.062,-19.431,0.0,-19.431,0.0,-19.431,0.0,-19.487,-19.273,-19.493,0.0,0.0,-19419.06,-19419.06
2009-12-31,0.0,0.0,0.0,10.01,12.84,0.0,36.733,-36.733,25.314,-11.419,-2.281,-9.138,0.0,-9.138,0.0,-10.054,-36.276,-36.733,0.0,0.0,-1072.13,-1072.13
2010-12-31,0.0,0.0,0.0,3.106,6.069,0.0,9.175,-9.175,0.755,-8.42,0.0,-8.42,0.0,-8.42,0.0,-8.42,-8.837,-9.175,0.0,0.0,-747.47,-747.47
2011-12-31,0.0,0.0,0.0,2.315,5.046,0.0,7.361,-7.361,1.997,-5.364,0.0,-5.364,0.0,-5.364,0.0,-5.364,-6.759,-7.361,0.0,0.0,-404.02,-404.02
2012-12-31,0.0,0.0,0.0,1.092,3.227,0.0,4.319,-4.319,-0.001,-4.32,0.0,-4.32,0.0,-4.32,0.0,-4.32,-4.276,-4.319,0.0,0.0,-244.17,-244.17
2013-12-31,0.0,0.0,0.0,2.928,4.012,0.0,6.94,-6.94,0.001,-6.939,0.0,-6.939,0.0,-6.939,0.0,-8.965,-6.914,-6.94,0.0,0.0,-130.9,-130.9
2014-12-31,0.0,0.0,0.0,5.625,4.068,0.0,9.693,-9.693,0.004,-9.689,0.0,-9.689,0.0,-9.689,0.0,-9.689,-9.614,-9.693,0.0,0.0,-59.53,-59.53
2015-12-31,0.0,0.0,0.0,7.063,4.392,0.0,11.455,-11.455,0.01,-11.445,0.0,-11.445,0.0,-11.445,0.0,-11.445,-11.247,-11.455,0.0,0.0,-32.73,-32.73
2016-12-31,0.0,0.0,0.0,12.348,4.265,0.0,16.613,-16.613,0.169,-16.444,0.0,-16.444,0.0,-16.444,0.0,-16.444,-16.132,-16.613,1.0,1.0,-32.55,-32.55
2017-12-31,0.0,0.0,0.0,14.076,4.636,0.0,18.712,-18.712,0.161,-18.551,-0.061,-18.49,0.0,-18.49,0.0,-18.49,-18.237,-18.712,1.0,1.0,-31.83,-31.83
2018-12-31,0.0,0.0,0.0,4.239,3.879,0.0,8.118,-8.118,0.154,-7.964,-0.031,-7.933,0.0,-7.933,0.0,-7.933,-8.094,-8.118,1.0,1.0,-10.31,-10.31
2019-12-31,0.0,0.0,0.0,1.833,3.981,0.0,5.814,-5.814,0.165,-5.649,-0.167,-5.482,0.0,-5.482,0.0,-5.482,-5.725,-5.814,1.0,1.0,-4.15,-4.15
2020-12-31,0.0,0.0,0.0,4.992,4.774,0.0,9.766,-9.766,0.019,-9.747,-0.009,-9.738,0.0,-9.738,0.0,-9.738,-9.673,-9.766,5.0,5.0,-2.07,-2.07
